City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
90,Margate,51.38,1.39,51.01,89,0,12.35,clear sky
91,Vestmanna,62.16,-7.17,37.4,100,64,1.12,light rain
92,Praia,14.92,-23.51,75.2,69,75,17.22,broken clouds
93,Tutoia,-2.76,-42.27,82.42,76,27,12.06,scattered clouds
94,Harwich,51.94,1.28,46.99,85,0,4.0,clear sky
95,Nikolskoye,59.7,30.79,32.0,95,90,11.18,overcast clouds
96,Castro,-24.79,-50.01,70.54,81,57,10.85,light rain
97,Tasiilaq,65.61,-37.64,19.4,52,20,18.34,few clouds
98,Hobart,-42.88,147.33,55.4,82,75,11.41,light rain
99,Batie,9.88,-2.92,85.46,34,57,4.85,broken clouds
100,Thompson,55.74,-97.86,17.6,85,90,3.36,light snow
101,Serebryanyy Bor,56.8,124.8,-0.74,90,100,12.01,light snow
102,Ust-Omchug,61.15,149.63,-7.6,87,90,5.3,overcast clouds
103,Oyama,36.3,139.8,52.0,52,75,2.24,broken clouds
104,Tazovskiy,67.47,78.7,0.57,93,100,11.18,overcast clouds
105,Laguna,38.42,-121.42,61.0,41,1,8.05,clear sky
106,Bar,49.08,27.68,30.6,98,51,6.15,broken clouds
107,Carnarvon,-24.87,113.63,66.2,88,12,12.75,few clouds
108,Malakal,9.53,31.66,78.53,19,0,7.05,clear sky
109,Bethel,41.37,-73.41,48.2,66,90,9.71,overcast clouds
110,El Sauzal,31.9,-116.68,69.01,33,0,8.01,clear sky
111,Kodiak,57.79,-152.41,30.2,92,75,4.03,broken clouds
112,San Patricio,28.02,-97.52,66.2,93,90,32.21,moderate rain
113,Hammerfest,70.66,23.68,39.2,80,100,13.87,overcast clouds
114,Srednekolymsk,67.45,153.68,-4.88,92,90,4.61,overcast clouds
115,Talnakh,69.49,88.4,8.6,84,90,26.84,snow
116,Sinegorye,62.08,150.48,-3.35,88,100,2.75,overcast clouds
117,Trofors,65.53,13.41,44.6,94,82,16.11,broken clouds
118,Port Hardy,50.7,-127.42,44.6,87,75,8.05,broken clouds
119,Port-Cartier,50.03,-66.87,33.01,95,70,3.36,broken clouds
120,New Norfolk,-42.78,147.06,55.0,68,100,1.01,light rain
121,Victoria,22.29,114.16,66.0,69,0,1.01,clear sky
122,Cherskiy,68.75,161.3,0.03,93,99,3.4,overcast clouds
123,Hilo,19.73,-155.09,80.6,57,20,10.29,few clouds
124,Skelleftea,64.75,20.95,33.01,97,15,5.82,few clouds
125,Guerrero Negro,27.98,-114.06,71.13,23,30,5.19,scattered clouds
126,Cascais,38.7,-9.42,60.01,76,20,5.82,few clouds
127,Filadelfia,39.95,-75.16,57.0,43,40,11.41,scattered clouds
128,Jertih,5.73,102.49,75.2,100,40,3.36,scattered clouds
129,Alice,27.75,-98.07,71.6,93,90,21.92,heavy intensity rain
130,San Cristobal,7.77,-72.22,80.6,78,40,10.29,moderate rain
131,Kruisfontein,-34.0,24.73,60.01,95,79,1.01,light rain
132,Yelovo,57.05,54.92,12.24,95,0,5.55,clear sky
133,Aklavik,68.22,-135.01,3.2,84,100,1.12,overcast clouds
134,Codrington,-38.27,141.97,54.59,86,82,12.97,broken clouds
135,Coquimbo,-29.95,-71.34,64.4,68,0,13.87,clear sky
136,Los Llanos De Aridane,28.66,-17.92,66.2,63,20,6.93,few clouds
137,Japura,-0.32,102.35,73.47,96,100,1.45,moderate rain
138,Dhidhdhoo,6.88,73.1,82.44,68,79,5.88,broken clouds
139,Yerofey Pavlovich,53.97,121.97,0.99,88,71,4.38,broken clouds
140,Kawalu,-7.38,108.21,71.92,90,100,2.71,heavy intensity rain
141,Tateyama,34.98,139.87,50.0,42,100,1.99,overcast clouds
142,Zhangye,38.93,100.45,21.54,87,70,1.9,broken clouds
143,Palauig,15.44,119.9,80.6,72,100,4.72,light rain
144,Zatoka,46.07,30.47,33.8,100,75,7.63,fog
145,Korcula,42.96,17.14,42.8,81,40,2.24,scattered clouds
146,Vila Franca Do Campo,37.72,-25.43,53.6,66,40,14.99,scattered clouds
147,Sao Filipe,14.9,-24.5,75.42,71,100,9.35,overcast clouds
148,Syumsi,57.11,51.61,14.86,96,88,6.98,overcast clouds
149,Qaanaaq,77.48,-69.36,1.85,86,100,6.73,overcast clouds
150,Leningradskiy,69.38,178.42,15.82,93,100,8.46,overcast clouds
151,Mugur-Aksy,50.35,90.5,-0.58,68,0,3.44,clear sky
