City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
546,Sao Felix Do Xingu,BR,83.8,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
552,Dubbo,AU,82.4,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
557,Bansang,GM,82.4,clear sky,13.43,-14.65,Margie's Lodge
569,Altamira,BR,86.0,few clouds,-3.2,-52.21,Requinte Hotel
583,Pitimbu,BR,80.6,few clouds,-7.47,-34.81,Reserva do Abiaí
584,Kralendijk,BQ,82.4,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
602,Paracuru,BR,81.0,broken clouds,-3.41,-39.03,Hotel Vento Brasil
625,Kailua,US,80.6,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
627,Felipe Carrillo Puerto,MX,84.78,clear sky,19.58,-88.05,Hotel La Ceiba
640,Bom Jesus,BR,83.73,overcast clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
642,Alegrete,BR,88.61,light rain,-29.78,-55.79,Hotel Alegrete
650,Pital,CO,81.34,light rain,2.27,-75.8,Finca el Rebaño Vida el Uvital
653,Cockburn Town,TC,80.6,few clouds,21.46,-71.14,Osprey Beach Hotel
656,Linden,GY,86.0,scattered clouds,6.0,-58.3,Crimson Bat Hotel
662,Anloga,GH,80.6,few clouds,5.79,0.9,Pin Drop Hotel
